IATA	Airport ID	Name	City	Country	ICAO		Latitude	Longitude	Altitude	Timezone	DST	Tz database time zone	Type	Source
EET	8394	Shelby County Airport	Alabaster	United States	KEET	33.17699814	-86.78279877	586	-6	A	America/Chicago	airport	OurAirports	
\N	8397	Sky Ranch At Carefree Airport	Carefree	United States	18AZ	33.81809998	-111.8980026	2568	-7	N	America/Phoenix	airport	OurAirports	
UMP	8409	Indianapolis Metropolitan Airport	Indianapolis	United States	KUMP	39.93519974	-86.04499817	811	-5	A	America/New_York	airport	OurAirports	
LOZ	8410	London-Corbin Airport/Magee Field	London	United States	KLOZ	37.0821991	-84.0848999	1212	-5	A	America/New_York	airport	OurAirports	
FBG	8412	Simmons Army Air Field	Fredericksburg	United States	KFBG	35.13180161	-78.93669891	244	-5	A	America/New_York	airport	OurAirports	
RAC	8430	John H Batten Airport	Racine	United States	KRAC	42.76060104	-87.81520081	674	-6	A	America/Chicago	airport	OurAirports	
REI	8443	Redlands Municipal Airport	Redlands	United States	KREI	34.08530045	-117.1460037	1571	-8	A	America/Los_Angeles	airport	OurAirports	
RIR	8445	Flabob Airport	Riverside	United States	KRIR	33.98970032	-117.4110031	764	-8	A	America/Los_Angeles	airport	OurAirports	
TIW	8446	Tacoma Narrows Airport	Tacoma	United States	KTIW	47.26789856	-122.5780029	294	-8	A	America/Los_Angeles	airport	OurAirports	
JKA	8460	Jack Edwards Airport	Gulf Shores	United States	KJKA	30.29050064	-87.67179871	17	-6	A	America/Chicago	airport	OurAirports	
HZL	8473	Hazleton Municipal Airport	Hazleton	United States	KHZL	40.98680115	-75.99490356	1603	-5	A	America/New_York	airport	OurAirports	
CBE	8474	Greater Cumberland Regional Airport	Cumberland	United States	KCBE	39.61539841	-78.7609024	775	-5	A	America/New_York	airport	OurAirports	
\N	8475	Sugar Loaf Shores Airport	Key West	United States	7FA1	24.6487999	-81.57980347	4	-5	A	America/New_York	airport	OurAirports	
LNR	8493	Tri-County Regional Airport	Lone Rock	United States	KLNR	43.21170044	-90.18160248	717	-6	A	America/Chicago	airport	OurAirports	
\N	8494	Price County Airport	Phillips	United States	KPBH	45.70899963	-90.40249634	1497	-6	A	America/Chicago	airport	OurAirports	
\N	8495	Monroe Municipal Airport	Monroe	United States	KEFT	42.61489868	-89.5904007	1086	-6	A	America/Chicago	airport	OurAirports	
JOT	8496	Joliet Regional Airport	Joliet	United States	KJOT	41.51779938	-88.17549896	582	-6	A	America/Chicago	airport	OurAirports	
VYS	8497	Illinois Valley Regional Airport-Walter A Duncan Field	Peru	United States	KVYS	41.351898	-89.153099	654	-6	A	America/Chicago	airport	OurAirports	
JXN	8499	Jackson County Reynolds Field	Jackson	United States	KJXN	42.25979996	-84.45939636	1001	-5	A	America/New_York	airport	OurAirports	
\N	8502	Joseph A. Hardy Connellsville Airport	Connellsville	United States	KVVS	39.95920181	-79.65709686	1267	-5	A	America/New_York	airport	OurAirports	
\N	8503	Bedford County Airport	Bedford	United States	KHMZ	40.08530045	-78.5121994	1162	-5	A	America/New_York	airport	OurAirports	
BBX	8504	Wings Field	Philadelphia	United States	KLOM	40.13750076	-75.26509857	302	-5	A	America/New_York	airport	OurAirports	
OBE	8505	Okeechobee County Airport	Okeechobee	United States	KOBE	27.26280022	-80.84980011	34	-5	A	America/New_York	airport	OurAirports	
SEF	8506	Sebring Regional Airport	Sebring	United States	KSEF	27.45639992	-81.3423996	62	-5	A	America/New_York	airport	OurAirports	
AVO	8507	Avon Park Executive Airport	Avon Park	United States	KAVO	27.59119987	-81.52780151	160	-5	A	America/New_York	airport	OurAirports	
GIF	8508	Winter Haven Municipal Airport - Gilbert Field	Winter Haven	United States	KGIF	28.06290054	-81.75330353	145	-5	A	America/New_York	airport	OurAirports	
ZPH	8509	Zephyrhills Municipal Airport	Zephyrhills	United States	KZPH	28.22820091	-82.15589905	90	-5	A	America/New_York	airport	OurAirports	
OCF	8510	Ocala International Airport - Jim Taylor Field	Ocala	United States	KOCF	29.17259979	-82.22419739	90	-5	A	America/New_York	airport	OurAirports	
JES	8511	Jesup Wayne County Airport	Jesup	United States	KJES	31.55400085	-81.88249969	107	-5	A	America/New_York	airport	OurAirports	
52A	8512	Madison Municipal Airport	Madison	United States	K52A	33.61209869	-83.46040344	694	-5	A	America/New_York	airport	OurAirports	
CCO	8513	Newnan Coweta County Airport	Newnan	United States	KCCO	33.31159973	-84.76979828	970	-5	A	America/New_York	airport	OurAirports	
HQU	8514	Thomson-McDuffie County Airport	Thomson	United States	KHQU	33.52970123	-82.51650238	501	-5	A	America/New_York	airport	OurAirports	
AIK	8515	Aiken Municipal Airport	Aiken	United States	KAIK	33.6493988	-81.68499756	528	-5	A	America/New_York	airport	OurAirports	
CDN	8516	Woodward Field	Camden	United States	KCDN	34.28359985	-80.56490326	302	-5	A	America/New_York	airport	OurAirports	
LBT	8517	Lumberton Regional Airport	Lumberton	United States	KLBT	34.60990143	-79.05940247	126	-5	A	America/New_York	airport	OurAirports	
SOP	8519	Moore County Airport	Pinehurst-Southern Pines	United States	KSOP	35.23740005	-79.3911972	455	-5	A	America/New_York	airport	OurAirports	
RCZ	8520	Richmond County Airport	Rockingham	United States	KRCZ	34.8913	-79.759598	358	-5	A	America/New_York	airport	OurAirports	
DLL	8524	Baraboo Wisconsin Dells Airport	Baraboo	United States	KDLL	43.52270126	-89.77020264	979	-6	A	America/Chicago	airport	OurAirports	
SVH	8526	Statesville Regional Airport	Statesville	United States	KSVH	35.76530075	-80.9539032	968	-5	A	America/New_York	airport	OurAirports	
BUU	8528	Burlington Municipal Airport	Burlington	United States	KBUU	42.69070053	-88.30460358	779	-6	A	America/Chicago	airport	OurAirports	
LHV	8532	William T. Piper Memorial Airport	Lock Haven	United States	KLHV	41.13560104	-77.42230225	556	-5	A	America/New_York	airport	OurAirports	
\N	8538	Zelienople Municipal Airport	Zelienople	United States	KPJC	40.80160141	-80.16069794	898	-5	A	America/New_York	airport	OurAirports	
LPR	8542	Lorain County Regional Airport	Lorain-Elyria	United States	KLPR	41.34429932	-82.17759705	793	-5	A	America/New_York	airport	OurAirports	
BKL	8544	Burke Lakefront Airport	Cleveland	United States	KBKL	41.51750183	-81.6832962	583	-5	A	America/New_York	airport	OurAirports	
DKK	8545	Chautauqua County-Dunkirk Airport	Dunkirk	United States	KDKK	42.49330139	-79.27200317	693	-5	A	America/New_York	airport	OurAirports	
VAY	8548	South Jersey Regional Airport	Mount Holly	United States	KVAY	39.94290161	-74.84570313	53	-5	A	America/New_York	airport	OurAirports	
LDJ	8550	Linden Airport	Linden	United States	KLDJ	40.61740112	-74.24459839	23	-5	A	America/New_York	airport	OurAirports	
ANQ	8553	Tri State Steuben County Airport	Angola	United States	KANQ	41.639702	-85.083504	995	-5	A	America/New_York	airport	OurAirports	
\N	8555	Warsaw Municipal Airport	Warsaw	United States	KASW	41.27470016	-85.84010315	850	-5	A	America/New_York	airport	OurAirports	
VNW	8556	Van Wert County Airport	Van Wert	United States	KVNW	40.86470032	-84.60939789	785	-5	A	America/New_York	airport	OurAirports	
\N	8559	Brooks Field	Marshall	United States	KRMY	42.25120163	-84.95549774	941	-5	A	America/New_York	airport	OurAirports	
GVQ	8560	Genesee County Airport	Batavia	United States	KGVQ	43.03170013	-78.16760254	914	-5	A	America/New_York	airport	OurAirports	
CLW	8565	Clearwater Air Park	Clearwater	United States	KCLW	27.97669983	-82.75869751	71	-5	A	America/New_York	airport	OurAirports	
CGX	8593	Chicago Meigs Airport	Chicago	United States	KCGX	41.85879898	-87.60790253	593	-6	A	America/Chicago	airport	OurAirports	
JZP	8601	Pickens County Airport	Jasper	United States	KJZP	34.45339966	-84.45739746	1535	-5	A	America/New_York	airport	OurAirports	
CRE	8604	Grand Strand Airport	North Myrtle Beach	United States	KCRE	33.81169891	-78.72389984	32	-5	A	America/New_York	airport	OurAirports	
IGQ	8606	Lansing Municipal Airport	Lansing	United States	KIGQ	41.53490067	-87.52950287	620	-6	A	America/Chicago	airport	OurAirports	
RNM	8608	Ramona Airport	Ramona	United States	KRNM	33.03919983	-116.9150009	1395	-8	A	America/Los_Angeles	airport	OurAirports	
OEB	8624	Branch County Memorial Airport	Coldwater	United States	KOEB	41.9333992	-85.05259705	959	-5	A	America/New_York	airport	OurAirports	
WBW	8625	Wilkes Barre Wyoming Valley Airport	Wilkes-Barre	United States	KWBW	41.29719925	-75.85119629	545	-5	A	America/New_York	airport	OurAirports	
LNN	8626	Willoughby Lost Nation Municipal Airport	Willoughby	United States	KLNN	41.68399811	-81.38970184	626	-5	A	America/New_York	airport	OurAirports	
FFT	8631	Capital City Airport	Frankfort	United States	KFFT	38.18249893	-84.90470123	806	-5	A	America/New_York	airport	OurAirports	
LEW	8632	Auburn Lewiston Municipal Airport	Lewiston	United States	KLEW	44.04850006	-70.28350067	288	-5	A	America/New_York	airport	OurAirports	
\N	8639	Bloyer Field	Tomah	United States	KY72	43.97499847	-90.48349762	966	-6	A	America/Chicago	airport	OurAirports	
MRK	8641	Marco Island Airport	Marco Island Airport	United States	KMKY	25.99500084	-81.67250061	5	-5	A	America/New_York	airport	OurAirports	
DRM	8644	Drummond Island Airport	Drummond Island	United States	KDRM	46.00930023	-83.74389648	668	-5	A	America/New_York	airport	OurAirports	
GDW	8646	Gladwin Zettel Memorial Airport	Gladwin	United States	KGDW	43.97060013	-84.47499847	776	-5	A	America/New_York	airport	OurAirports	
LWA	8648	South Haven Area Regional Airport	South Haven	United States	KLWA	42.3512001	-86.25569916	666	-5	A	America/New_York	airport	OurAirports	
MFI	8653	Marshfield Municipal Airport	Marshfield	United States	KMFI	44.63690186	-90.18930054	1277	-6	A	America/Chicago	airport	OurAirports	
ISW	8654	Alexander Field South Wood County Airport	Wisconsin Rapids	United States	KISW	44.36029816	-89.83899689	1021	-6	A	America/Chicago	airport	OurAirports	
CWI	8655	Clinton Municipal Airport	Clinton	United States	KCWI	41.83110046	-90.32910156	708	-6	A	America/Chicago	airport	OurAirports	
BVY	8658	Beverly Municipal Airport	Beverly	United States	KBVY	42.58420181	-70.91649628	107	-5	A	America/New_York	airport	OurAirports	
POF	8664	Poplar Bluff Municipal Airport	Poplar Bluff	United States	KPOF	36.77389908	-90.32489777	331	-6	A	America/Chicago	airport	OurAirports	
\N	8665	Somerset Airport	Somerville	United States	KSMQ	40.62599945	-74.67019653	105	-5	A	America/New_York	airport	OurAirports	
EPM	8666	Eastport Municipal Airport	Eastport	United States	KEPM	44.91009903	-67.01270294	45	-5	A	America/New_York	airport	OurAirports	
EOK	8667	Keokuk Municipal Airport	Keokuk	United States	KEOK	40.4598999	-91.42849731	671	-6	A	America/Chicago	airport	OurAirports	
STP	8681	St Paul Downtown Holman Field	St. Paul	United States	KSTP	44.93450165	-93.05999756	705	-6	A	America/Chicago	airport	OurAirports	
\N	8693	Oconomowoc Airport	Oconomowoc	United States	0WI8	43.13890076	-88.47229767	885	-6	A	America/Chicago	airport	OurAirports	
\N	8706	Butler Co Regional Airport - Hogan Field	Hamilton	United States	KHAO	39.36380005	-84.52200317	633	-5	A	America/New_York	airport	OurAirports	
FLD	8742	Fond du Lac County Airport	Fond du Lac	United States	KFLD	43.77119827	-88.48840332	808	-6	A	America/Chicago	airport	OurAirports	
PCZ	8743	Waupaca Municipal Airport	Waupaca	United States	KPCZ	44.33330154	-89.01979828	840	-6	A	America/Chicago	airport	OurAirports	
STE	8744	Stevens Point Municipal Airport	Stevens Point	United States	KSTE	44.54520035	-89.53029633	1110	-6	A	America/Chicago	airport	OurAirports	
ERY	8747	Luce County Airport	Newberry	United States	KERY	46.31119919	-85.45729828	869	-5	A	America/New_York	airport	OurAirports	
GQQ	8759	Galion Municipal Airport	Galion	United States	KGQQ	40.7533989	-82.72380066	1224	-5	A	America/New_York	airport	OurAirports	
CKV	8763	Clarksville–Montgomery County Regional Airport	Clarksville	United States	KCKV	36.62189865	-87.41500092	550	-6	A	America/Chicago	airport	OurAirports	
LPC	8771	Lompoc Airport	Lompoc	United States	KLPC	34.66559982	-120.4680023	88	-8	A	America/Los_Angeles	airport	OurAirports	
CTH	8772	Chester County G O Carlson Airport	Coatesville	United States	KMQS	39.97900009	-75.8655014	660	-5	A	America/New_York	airport	OurAirports	
LKP	8777	Lake Placid Airport	Lake Placid	United States	KLKP	44.26449966	-73.9618988	1747	-5	A	America/New_York	airport	OurAirports	
AOH	8784	Lima Allen County Airport	Lima	United States	KAOH	40.706902	-84.026703	975	-5	A	America/New_York	airport	OurAirports	
SSI	8789	Malcolm McKinnon Airport	Brunswick	United States	KSSI	31.15180016	-81.39129639	19	-5	A	America/New_York	airport	OurAirports	
BFP	8790	Beaver County Airport	Beaver Falls	United States	KBVI	40.77249908	-80.3914032	1253	-5	A	America/New_York	airport	OurAirports	
GGE	8792	Georgetown County Airport	Georgetown	United States	KGGE	33.31169891	-79.31960297	39	-5	A	America/New_York	airport	OurAirports	
HDI	8793	Hardwick Field	Cleveland	United States	KHDI	35.2201004	-84.83239746	874	-5	A	America/New_York	airport	OurAirports	
RNT	8796	Renton Municipal Airport	Renton	United States	KRNT	47.49309921	-122.2160034	32	-8	A	America/Los_Angeles	airport	OurAirports	
POC	8798	Brackett Field	La Verne	United States	KPOC	34.09159851	-117.7819977	1011	-8	A	America/Los_Angeles	airport	OurAirports	
CTY	8801	Cross City Airport	Cross City	United States	KCTY	29.63549995	-83.10479736	42	-5	A	America/New_York	airport	OurAirports	
CEU	8802	Oconee County Regional Airport	Clemson	United States	KCEU	34.6719017	-82.8864975	892	-5	A	America/New_York	airport	OurAirports	
BEC	8804	Beech Factory Airport	Wichita	United States	KBEC	37.69449997	-97.21499634	1408	-6	A	America/Chicago	airport	OurAirports	
\N	8808	Tom B. David Field	Calhoun	United States	KCZL	34.45539856	-84.93920135	647	-5	A	America/New_York	airport	OurAirports	
\N	8809	Habersham County Airport	Cornelia	United States	KAJR	34.49990082	-83.55670166	1448	-5	A	America/New_York	airport	OurAirports	
GTU	8811	Georgetown Municipal Airport	Georgetown	United States	KGTU	30.67880058	-97.67939758	790	-6	A	America/Chicago	airport	OurAirports	
\N	8812	Old Rhinebeck Airport	Rhinebeck	United States	NY94	41.9715004	-73.86289978	323	-5	U	America/New_York	airport	OurAirports	
SNY	8815	Sidney Municipal-Lloyd W Carr Field	Sidney	United States	KSNY	41.10129929	-102.9850006	4313	-7	A	America/Denver	airport	OurAirports	
\N	8824	Kalaeloa Airport	Kapolei	United States	PHJR	21.3074	-158.070009	30	-10	U	Pacific/Honolulu	airport	OurAirports	
ECA	8833	Iosco County Airport	East Tawas	United States	K6D9	44.312801	-83.422302	606	-5	A	America/New_York	airport	OurAirports	
\N	8834	Madison County Executive Airport-Tom Sharp Jr Field	Huntsville	United States	KMDQ	34.8614006	-86.55750275	756	-6	A	America/Chicago	airport	OurAirports	
JYO	8835	Leesburg Executive Airport	Leesburg	United States	KJYO	39.07799911	-77.55750275	389	-5	A	America/New_York	airport	OurAirports	
\N	8838	Anoka County-Blaine Arpt(Janes Field) Airport	Anoka	United States	KANE	45.14500046	-93.21140289	912	-6	U	America/Chicago	airport	OurAirports	
SDC	8850	Williamson Sodus Airport	Williamson	United States	KSDC	43.23469925	-77.1210022	424	-5	A	America/New_York	airport	OurAirports	
WBU	8854	Boulder Municipal Airport	Boulder	United States	KBDU	40.03939819	-105.2259979	5288	-7	A	America/Denver	airport	OurAirports	
PAO	8864	Palo Alto Airport of Santa Clara County	Palo Alto	United States	KPAO	37.46110153	-122.1149979	4	-8	A	America/Los_Angeles	airport	OurAirports	
FFZ	8869	Falcon Field	Mesa	United States	KFFZ	33.46080017	-111.7279968	1394	-7	A	America/Phoenix	airport	OurAirports	
P08	8870	Coolidge Municipal Airport	Cooldige	United States	KP08	32.93590164	-111.427002	1574	-7	A	America/Phoenix	airport	OurAirports	
P52	8871	Cottonwood Airport	Cottonwood	United States	KP52	34.72999954	-112.0350037	3550	-7	A	America/Phoenix	airport	OurAirports	
A39	8874	Ak-Chin Regional Airport	Phoenix	United States	KA39	32.9908056	-111.9185278	1300	-7	A	America/Phoenix	airport	OurAirports	
E25	8875	Wickenburg Municipal Airport	Wickenburg	United States	KE25	33.96889877	-112.7990036	2377	-7	A	America/Phoenix	airport	OurAirports	
PTK	8877	Oakland County International Airport	Pontiac	United States	KPTK	42.66550064	-83.42009735	980	-5	A	America/New_York	airport	OurAirports	
EEN	8888	Dillant Hopkins Airport	Keene	United States	KEEN	42.89839935	-72.27079773	488	-5	A	America/New_York	airport	OurAirports	
\N	8893	Glasgow Industrial Airport	Glasgow	United States	07MT	48.42110062	-106.5279999	2762	-7	A	America/Denver	airport	OurAirports	
IOW	8925	Iowa City Municipal Airport	Iowa City	United States	KIOW	41.6391983	-91.54650116	668	-6	A	America/Chicago	airport	OurAirports	
MWM	8928	Windom Municipal Airport	Windom	United States	KMWM	43.91339874	-95.10939789	1410	-6	A	America/Chicago	airport	OurAirports	
\N	8931	Longview Ranch Airport	Longview	United States	OG39	44.6617012	-119.6520004	2080	-8	A	America/Los_Angeles	airport	OurAirports	
ANP	8935	Lee Airport	Annapolis	United States	KANP	38.942902	-76.568398	34	-5	A	America/New_York	airport	OurAirports	
PEQ	8950	Pecos Municipal Airport	Pecos	United States	KPEQ	31.38240051	-103.5110016	2613	-6	A	America/Chicago	airport	OurAirports	
HBG	8951	Hattiesburg Bobby L Chain Municipal Airport	Hattiesburg	United States	KHBG	31.26479912	-89.25279999	151	-6	A	America/Chicago	airport	OurAirports	
YKN	8958	Chan Gurney Municipal Airport	Yankton	United States	KYKN	42.91669846	-97.3859024	1306	-6	A	America/Chicago	airport	OurAirports	
HWD	8982	Hayward Executive Airport	Hayward	United States	KHWD	37.65919876	-122.1220016	52	-8	A	America/Los_Angeles	airport	OurAirports	
ARB	8989	Ann Arbor Municipal Airport	Ann Arbor	United States	KARB	42.22299957	-83.74559784	839	-5	A	America/New_York	airport	OurAirports	
4A7	9066	Atlanta South Regional Airport/Tara Field	Hampton	United States	K4A7	33.389099	-84.332397	874	-5	A	America/New_York	airport	OurAirports	
\N	9093	Comarapa Airport	Salt Lake City	United States	SLCR	-17.91360092	-64.51779938	6186	-4	A	America/La_Paz	airport	OurAirports	
IMM	9102	Immokalee Regional Airport	Immokalee 	United States	KIMM	26.43320084	-81.40100098	37	-5	A	America/New_York	airport	OurAirports	
\N	9104	Rancho San Simeon Airport	Cambria	United States	66CA	35.60770035	-121.1100006	320	-8	A	America/Los_Angeles	airport	OurAirports	
PTB	9120	Dinwiddie County Airport	Petersburg	United States	KPTB	37.18379974	-77.50740051	193	-5	A	America/New_York	airport	OurAirports	
SBM	9126	Sheboygan County Memorial Airport	Sheboygan	United States	KSBM	43.76959991	-87.85140228	755	-6	A	America/Chicago	airport	OurAirports	
MZJ	9138	Pinal Airpark	Marana	United States	KMZJ	32.51060104	-111.3280029	1893	-7	N	America/Phoenix	airport	OurAirports	
GEU	9139	Glendale Municipal Airport	Glendale	United States	KGEU	33.52690125	-112.2949982	1071	-7	N	America/Phoenix	airport	OurAirports	
SAD	9140	Safford Regional Airport	Safford	United States	KSAD	32.85480118	-109.6350021	3179	-7	N	America/Phoenix	airport	OurAirports	
SIK	9164	Sikeston Memorial Municipal Airport	Sikeston	United States	KSIK	36.89889908	-89.5617981	315	-6	A	America/Chicago	airport	OurAirports	
GFL	9178	Floyd Bennett Memorial Airport	Queensbury	United States	KGFL	43.34120178	-73.61029816	328	-5	A	America/New_York	airport	OurAirports	
5B2	9179	Saratoga County Airport	Ballston Spa	United States	K5B2	43.05130005	-73.86119843	434	-5	A	America/New_York	airport	OurAirports	
CGC	9182	Crystal River Airport	Crystal River	United States	KCGC	28.86730003	-82.57129669	9	-5	A	America/New_York	airport	OurAirports	
MTN	9183	Martin State Airport	Baltimore	United States	KMTN	39.32569885	-76.4138031	21	-5	A	America/New_York	airport	OurAirports	
LHM	9184	Lincoln Regional Karl Harder Field	Lincoln	United States	KLHM	38.90919876	-121.3509979	121	-8	A	America/Los_Angeles	airport	OurAirports	
FZI	9185	Fostoria Metropolitan Airport	Fostoria	United States	KFZI	41.19079971	-83.39450073	752	-5	A	America/New_York	airport	OurAirports	
IZG	9186	Eastern Slopes Regional Airport	Fryeburg	United States	KIZG	43.99110031	-70.94789886	454	-5	A	America/New_York	airport	OurAirports	
