MSA,State,Lat,Long
Tampa St. Petersburg Clearwater,FL,27.950575,-82.4571776
Terre Haute,IN,39.4667034,-87.4139092
Texarkana,TX,33.425125,-94.0476882
Toledo,OH,41.6639383,-83.555212
Topeka,KS,39.0558235,-95.6890185
Trenton,NJ,40.2170534,-74.7429384
Tucson,AZ,32.2217429,-110.926479
Tulsa,OK,36.1539816,-95.992775
Tuscaloosa,AL,33.2098407,-87.5691735
Tyler,TX,32.3512601,-95.3010624
Utica Rome,NY,43.100903,-75.232664
Valdosta,GA,30.8327022,-83.2784851
Vallejo Fairfield,CA,38.1040864,-122.2566367
Victoria,TX,28.8052674,-97.0035982
Vineland Bridgeton,NJ,39.4863773,-75.0259637
Virginia Beach Norfolk Newport News,VA,36.8529263,-75.977985
Visalia Porterville,CA,36.3302284,-119.2920585
Waco,TX,31.549333,-97.1466695
Warner Robins,GA,32.608611,-83.638056
Washington Arlington Alexandria,VA,38.9071923,-77.0368707
Waterloo Cedar Falls,IA,42.492786,-92.3425775
Wausau,WI,44.9591352,-89.6301221
Wheeling,OH,40.0639616,-80.7209149
Wichita Falls,TX,33.9137085,-98.4933873
Wichita,KS,37.688889,-97.336111
Williamsport,PA,41.2411897,-77.0010786
Wilmington,NC,34.2257255,-77.9447102
Winchester,VA,39.1856597,-78.1633341
Winston Salem,NC,36.1039642,-80.254435
Worcester,MA,42.2625932,-71.8022934
Yakima,WA,46.6020711,-120.5058987
York Hanover,PA,39.9625984,-76.727745
Youngstown Warren Boardman,OH,41.0997803,-80.6495194
Yuba City,CA,39.1404477,-121.6169108
Yuma,AZ,32.6926512,-114.6276916
