MSA,Lat,Long,Region.x,talent_score,connect_score,cost_score,quality_score,finalscore
"Charleston North Charleston, SC",32.7764749,-79.9310512,South,71.99239706,39.48329344,58.15667493,61.05300019,51.91
"Charleston, WV",38.3498195,-81.6326234,South,45.51194763,22.74335921,51.94492312,48.76014427,76.13
"Charlotte Concord Gastonia, NC SC",35.2270869,-80.8431267,South,79.1332872,73.98038955,37.44288292,56.00300514,80.46
"Charlottesville, VA",38.0293059,-78.4766781,South,67.5356123,14.69929103,47.10503862,44.34291189,60.83
"Chattanooga, TN GA",35.0456297,-85.3096801,South,49.3199632,40.41122753,42.93701768,42.97295492,65.42
"Cheyenne, WY",41.1399814,-104.8202462,West,64.41445777,52.90996972,55.44316601,66.52790448,54.21
"Chicago Naperville Elgin, IL IN WI",41.8781136,-87.6297982,Midwest,21.67951409,41.57810721,72.86005222,43.47350209,86.58
"Chico, CA",39.7284944,-121.8374777,West,79.51398601,73.57907496,38.02766062,40.67288248,38.4
"Cincinnati, OH KY IN",39.1031182,-84.5120196,Midwest,54.5023212,31.74455988,59.6987014,59.41467989,93.47
"Clarksville, TN KY",36.5297706,-87.3594528,South,62.69431603,49.37656485,41.116482,53.95969456,19.79
"Cleveland Elyria, OH",41.49932,-81.6943605,Midwest,38.45127595,40.54223481,50.82751161,45.81970767,91.68
"Cleveland, TN",35.1595182,-84.8766115,South,32.61754027,38.25794867,58.2214214,76.24186713,16.99
"Coeur d'Alene, ID",47.6776832,-116.7804664,West,44.654401,55.03562596,59.34362871,20.26403065,48.85
"College Station Bryan, TX",30.627977,-96.3344068,South,85.75514878,79.14381458,31.55370326,54.22601383,95
"Colorado Springs, CO",38.8338816,-104.8213634,West,56.16892465,63.9750715,41.2160866,38.25794867,59.56
"Columbia, MO",38.9517053,-92.3340724,Midwest,44.2777947,45.20594523,76.5827599,37.13174073,89.9
"Columbia, SC",34.0007104,-81.0348144,South,61.33930257,70.17316044,24.28613077,36.11174441,60.07
"Columbus, GA AL",32.4609764,-84.9877094,South,49.52985507,43.84703142,35.04923252,37.274675,19.28
"Columbus, IN",39.2014404,-85.9213796,Midwest,57.99196746,63.20182045,47.24504045,35.66321404,51.66
"Columbus, OH",39.9611755,-82.9987942,Midwest,61.31600319,63.39209004,39.63189973,58.78983424,90.66
"Corpus Christi, TX",27.8005828,-97.396381,South,27.6756726,37.97995234,58.43080549,74.82909073,82.5
"Corvallis, OR",44.5645659,-123.2620435,West,46.12891986,53.8271528,56.94228686,48.14601678,67.97
"Crestview Fort Walton Beach Destin, FL",30.7541808,-86.5727995,South,57.67195739,50.61949564,55.57508443,26.84731564,56.25
"Cumberland, MD WV",39.6528654,-78.7625185,South,87.14884472,92.84310561,27.57643295,51.88155679,45.54
"Dallas Fort Worth Arlington, TX",32.7801399,-96.8004511,South,37.80558911,48.63716038,67.7649033,35.3600136,87.86
"Dalton, GA",34.7698021,-84.9702228,South,69.88285208,63.58434407,29.33716406,51.62726838,36.62
"Danville, IL",40.124481,-87.6300207,Midwest,75.94244124,60.21914086,49.86651637,53.8271528,24.12
"Davenport Moline Rock Island, IA IL",41.5236437,-90.5776367,Midwest,57.5132968,58.78983424,46.37394965,18.09341307,36.11
"Dayton, OH",39.7589478,-84.1916069,Midwest,70.5304426,62.82698621,26.35965151,80.60573669,92.7
"Decatur, AL",34.6059253,-86.9833417,South,61.22249951,40.14809621,45.92122147,40.54223481,29.48
"Decatur, IL",39.8403147,-88.9548001,Midwest,23.85278557,32.44739513,72.70454983,65.20242305,4.75
"Deltona Daytona Beach Ormond Beach, FL",28.9005446,-81.2636738,South,49.182547,27.31520113,37.87668081,7.921992035,41.2
"Denver Aurora Lakewood, CO",39.737567,-104.9847179,West,47.83671462,37.69966113,55.56764339,73.1914223,87.35
"Des Moines West Des Moines, IA",41.6005448,-93.6091064,Midwest,41.55179383,63.77864826,28.91504408,71.42431184,69.76
"Detroit Warren Dearborn, MI",42.331427,-83.0457538,Midwest,74.88584586,61.22366376,31.41316899,52.52205975,95.25
"Dothan, AL",31.2232313,-85.3904888,South,47.9151909,35.51204564,45.9371655,58.94458969,50.64
"Dover, DE",39.158168,-75.5243682,South,66.18275311,70.78335941,32.51349756,54.76389122,27.95
"Dubuque, IA",42.5005583,-90.6645718,Midwest,68.07686559,46.9215528,41.22346273,38.53375703,39.17
"Duluth, MN WI",46.7866719,-92.1004852,Midwest,39.56473929,53.3008708,46.72804349,27.99163506,32.54
"Durham Chapel Hill, NC",35.9940329,-78.898619,South,62.20769657,68.2339429,35.38432088,52.136906,74.09
"Eau Claire, WI",44.811349,-91.4984941,Midwest,35.58134769,24.2528907,63.87306346,32.95942403,40.7
"El Centro, CA",32.792,-115.5630514,West,45.46286317,42.46912734,58.77431537,49.12967106,49.36
"El Paso, TX",31.7775757,-106.4424559,South,63.45381092,43.22360996,46.30108414,44.09525779,92.19
"Elizabethtown Fort Knox, KY",37.7030646,-85.8649408,South,99,99,6.286646805,99,22.34
"Elkhart Goshen, IN",41.6819935,-85.9766671,Midwest,69.11881399,62.09854573,39.57234876,43.34864788,11.63
"Elmira, NY",42.0897965,-76.8077338,Northeast,37.59196255,11.49083911,68.48885032,24.53507792,6.28
"Erie, PA",42.1292241,-80.085059,Northeast,66.73838978,61.05300019,43.00069504,46.43210566,39.93
"Eugene, OR",44.0520691,-123.0867536,West,47.68533829,53.56325442,56.78976417,72.45291035,91.17
"Evansville, IN KY",37.9715592,-87.5710898,Midwest,37.47088266,40.93313589,45.5344606,47.04389951,13.93
"Fairbanks, AK",64.8377778,-147.7163889,West,39.17483642,42.72148009,54.66314109,57.28988207,27.69
"Fargo, ND MN",46.8771863,-96.7898034,Midwest,53.70029827,28.64068256,46.81395511,9.292976865,55.48
"Farmington, NM",36.7280583,-108.2186856,West,41.91927769,4.106814838,65.027366,79.84582375,39.42
"Fayetteville Springdale Rogers, AR MO",36.0625795,-94.1574263,South,50.41749631,46.7992061,59.90732322,30.64128516,53.19
"Fayetteville, NC",35.0526641,-78.8783585,South,91.02652067,83.378832,4.945452262,54.35981217,22.85
"Flagstaff, AZ",35.1982836,-111.651302,West,40.38944324,54.76389122,83.721214,68.49481427,61.85
"Flint, MI",43.0125274,-83.6874562,Midwest,69.06978899,59.89404434,24.51516016,55.86315327,56.76
"Florence Muscle Shoals, AL",34.79981,-87.677251,South,48.52490794,56.71136488,59.83135467,41.32104586,41.71
"Florence, SC",34.1954331,-79.7625625,South,28.33082506,36.84387078,53.52312984,62.45937146,58.54
"Fond du Lac, WI",43.7730448,-88.4470508,Midwest,1,32.27392562,68.47484205,34.42842572,25.65
"Fort Collins, CO",40.5852602,-105.084423,West,53.15543648,54.0926448,61.52854677,58.02956582,75.11
"Fort Lauderdale, FL",25.7890972,-80.2040435,South,55.20789529,43.09838133,56.18280091,63.77864826,75.88
"Fort Smith, AR OK",35.3859242,-94.3985475,South,62.28351951,57.7313612,65.68056868,31.74455988,35.6
"Fort Wayne, IN",41.079273,-85.1393513,Midwest,56.91728988,33.78708452,54.44355704,55.03562596,37.38
"Fresno, CA",36.7468422,-119.7725868,West,52.05441726,43.47350209,45.23669127,61.39571048,62.87
"Gadsden, AL",34.014264,-86.0066386,South,30.44733703,21.02675336,42.03540199,55.72387504,71.54
"Gainesville, FL",29.6516344,-82.3248262,South,45.87026877,42.21583723,36.80445518,23.0597462,91.43
"Gainesville, GA",34.2978794,-83.8240663,South,64.77908575,58.33105997,34.47297753,43.72268703,10.61
"Glens Falls, NY",42.2548097,-74.0270786,Northeast,64.27904801,69.03159255,16.74114686,32.27392562,54.72
"Goldsboro, NC",35.3848841,-77.9927651,South,56.24525887,32.79010542,32.18797776,52.2649984,33.56
"Grand Forks, ND MN",47.9252568,-97.0328547,Midwest,82.28725057,76.7586118,22.2387079,38.67087284,46.05
"Grand Junction, CO",39.0638705,-108.5506486,West,40.52694521,17.60123848,62.00228604,53.3008708,16.48
"Grand Rapids Wyoming, MI",42.9633599,-85.6680863,Midwest,61.80547327,57.43628958,50.02259687,64.78345539,67.46
"Great Falls, MT",47.4941836,-111.2833449,West,38.29852909,38.67087284,58.95453778,43.97121945,10.36
"Greeley, CO",40.4233142,-104.7091322,West,53.33087633,43.72268703,55.69762021,49.00639331,12.91
"Green Bay, WI",44.519159,-88.019826,Midwest,45.93433116,16.54009138,54.75932996,52.00909483,23.61
"Greensboro High Point, NC",36.0726354,-79.7919754,South,14.06516603,40.01595281,39.19419271,21.39019525,90.15
"Greenville Anderson Mauldin, SC",34.8526176,-82.3940104,South,28.94151425,21.74285731,68.82149895,63.0134725,88.37
"Greenville, NC",35.612661,-77.3663538,South,59.94733721,69.59021491,41.21537278,67.47861548,35.34
"Gulfport Biloxi Pascagoula, MS",30.3674198,-89.0928155,South,38.32060999,35.3600136,61.73973986,44.59004616,60.58
"Hagerstown Martinsburg, MD WV",39.6417629,-77.7199932,South,68.68621383,23.36845612,54.95657859,67.97776296,12.14
"Hanford Corcoran, CA",36.3274502,-119.6456844,West,49.280636,46.55448857,57.39795608,70.17316044,30.5
"Harrisburg Carlisle, PA",40.2731911,-76.8867008,Northeast,33.3135317,41.19206016,46.90640332,29.86803411,51.4
"Harrisonburg, VA",38.4495688,-78.8689155,South,44.48391165,44.46654075,30.02133691,59.10029936,64.4
"Hartford West Hartford East Hartford, CT",41.7637111,-72.6850932,Northeast,22.82445572,49.62395253,43.49939772,87.58692663,39.68
"Hattiesburg, MS",31.3271189,-89.2903392,South,50.02791848,42.84732358,81.2799873,28.64068256,40.95
"Hickory Lenoir Morganton, NC",35.7344538,-81.3444573,South,84.91513614,77.30301423,24.89926665,59.89404434,45.79
"Hinesville, GA",31.846877,-81.5959453,South,50.45532479,52.52205975,52.56482613,50.24492609,15.71
"Hot Springs, AR",34.5037004,-93.0551795,South,51.32445194,58.63600934,25.14330665,42.59541714,14.44
"Houma Thibodaux, LA",29.5957696,-90.7195348,South,42.3793682,25.60916271,54.5634968,63.9750715,20.81
"Houston The Woodlands Sugar Land, TX",29.7601927,-95.3693896,South,53.39572944,47.77831778,40.8894009,34.89851592,76.9
"Huntington Ashland, WV KY OH",38.4192496,-82.445154,Midwest,64.22946049,57.88006231,49.7292502,58.33105997,31.26
"Huntsville, AL",34.7303688,-86.5861037,South,72.2754035,33.12743446,54.95362056,92.84310561,67.72
"Idaho Falls, ID",43.4916514,-112.0339645,West,65.86674809,71.42431184,26.71544348,20.65168331,45.28
"Indianapolis Carmel Anderson, IN",39.768403,-86.158068,Midwest,46.05840989,51.12162552,76.07639247,37.55862016,83.27
"Iowa City, IA",41.6611277,-91.5301683,Midwest,62.25093351,66.99578997,38.743231,41.70619961,93.98
"Ithaca, NY",42.4439614,-76.5018807,Northeast,46.75024866,41.06275973,48.16863557,49.25305945,92.96
"Jackson, MI",42.245869,-84.4013462,Midwest,51.7135886,28.85147227,73.70863574,64.57779625,28.2
"Jackson, MS",32.2987573,-90.1848103,South,32.06434211,29.26530936,63.56364745,61.74411351,63.64
"Jackson, TN",35.6145169,-88.8139469,South,97.06329386,89.73629077,12.03943856,34.10992473,72.05
"Jacksonville, FL",30.3321838,-81.655651,South,64.47190528,46.30969861,28.21818351,22.74335921,82.76
"Jacksonville, NC",34.7540524,-77.4302414,South,64.41054644,63.0134725,16.14445881,44.8367123,17.24
"Jefferson City, MO",38.5767017,-92.1735164,Midwest,63.05330519,15.96430696,60.7752637,69.87847593,18.26
"Jersey City Hoboken, NJ",40.7127837,-74.0059413,Northeast,50.16518133,65.20242305,34.04117351,36.2596624,69.25
"Johnson City, TN",36.3134397,-82.3534727,South,56.63278792,49.00639331,36.29573943,46.7992061,55.74
"Johnstown, PA",40.3267407,-78.9219698,Northeast,41.58217244,41.4497254,57.54586682,47.41099995,9.59
"Jonesboro, AR",35.8422967,-90.704279,South,47.4514193,53.03992581,38.99287217,13.99728186,59.81
"Joplin, MO",37.0842271,-94.513281,Midwest,16.9188011,45.45166301,42.75424212,59.57340199,17.75
"Kalamazoo Portage, MI",42.2917069,-85.5872286,Midwest,65.16617626,62.27813546,31.93886011,53.6950094,79.7
"Kankakee, IL",41.1200325,-87.8611531,Midwest,85.99043225,61.92055389,9.173014986,33.29417213,43.75
"Kansas City, MO KS",39.0997265,-94.5785667,Midwest,49.60332819,49.87188616,57.60736236,49.74784782,85.05
"Kennewick Richland, WA",46.2112458,-119.1372338,West,49.15946502,34.10992473,59.3477082,48.88321981,79.95
"Killeen Temple, TX",31.1171194,-97.7277959,South,67.1983499,57.28988207,52.74276691,57.14420292,11.12
"Kingsport Bristol Bristol, TN VA",36.548434,-82.5618186,South,71.37734704,53.43187808,35.9793184,60.88368157,14.69
"Kingston, NY",41.9270367,-73.9973608,Northeast,51.84542971,33.45967124,26.28910538,41.83401078,20.3
"Knoxville, TN",35.9606384,-83.9207392,South,27.48522689,23.96462968,58.62377652,60.38343437,72.56
"Kokomo, IN",40.486427,-86.1336033,Midwest,60.37924598,57.58344321,50.29321208,46.9215528,41.97
"La Crosse Onalaska, WI MN",43.8013556,-91.2395807,Midwest,72.49807517,64.57779625,29.85809871,47.16625224,49.87
"Lafayette West Lafayette, IN",40.4167022,-86.8752869,Midwest,42.31026886,49.25305945,50.53634432,58.48309201,81.99
"Lafayette, LA",30.2240897,-92.0198427,South,53.74625153,62.45937146,42.74697106,56.71136488,70.01
"Lake Charles, LA",30.2265949,-93.2173758,South,34.26909437,29.66941956,71.78852414,81.43570195,10.1
"Lake Havasu City Kingman, AZ",34.483901,-114.3224548,West,77.34538791,75.27949844,36.68281311,44.46654075,18.52
"Lakeland Winter Haven, FL",28.0394654,-81.9498042,South,50.6435243,51.37397827,49.92782344,1,45.03
"Lancaster, PA",40.0378755,-76.3055144,Northeast,55.49255427,51.88155679,16.00924255,54.89951606,9.08
"Lansing East Lansing, MI",42.732535,-84.5555347,Midwest,42.67080686,39.21436578,46.79243742,19.01401488,87.09
"Laredo, TX",27.5305671,-99.4803241,South,71.5076695,56.85496095,43.16605304,73.98038955,78.42
"Las Cruces, NM",32.3199396,-106.7636538,West,31.03921864,32.95942403,50.24937493,63.20182045,70.27
"Las Vegas Henderson Paradise, NV",36.1699412,-115.1398296,West,57.85313004,44.9598858,42.32522085,49.50019372,75.62
"Lawrence, KS",38.9716689,-95.2352501,Midwest,51.56305155,38.53375703,52.12555603,12.40740366,94.49
"Lawton, OK",34.6035669,-98.3959291,South,68.43832276,50.49445773,32.14886047,77.30301423,37.89
"Lebanon, PA",40.3409251,-76.4113497,Northeast,35.39926441,52.39338021,41.62142687,36.84387078,21.32
"Lewiston Auburn, ME",44.100351,-70.2147764,Northeast,36.65838876,26.11705037,61.4659303,28.85147227,38.66
"Lewiston, ID WA",46.4004089,-117.0011889,West,76.09852649,59.57340199,37.16322226,35.81353978,29.73
"Lexington Fayette, KY",38.0405837,-84.5037164,South,52.61108645,56.56843061,39.65275772,62.27813546,93.21
"Lima, OH",40.742551,-84.1052256,Midwest,91.96574502,84.55012874,14.24012088,44.9598858,59.05
"Lincoln, NE",40.809722,-96.675278,Midwest,64.91261424,52.00909483,38.4359817,48.26869628,77.4
"Little Rock North Little Rock Conway, AR",34.7464809,-92.2895948,South,48.11721191,27.08304638,46.05128785,60.71567115,73.33
"Logan, UT ID",41.7369803,-111.8338359,West,34.03660498,50.99578203,79.2597027,64.37456773,25.4
"Longview, TX",32.5007037,-94.7404891,South,51.74023596,37.41696307,55.87222259,45.94227196,11.89
"Longview, WA",46.1381676,-122.9381672,West,44.30781244,54.62873983,35.6063097,32.0989921,8.57
"Los Angeles Long Beach Anaheim, CA",34.0522342,-118.2436849,West,59.70521679,42.59541714,62.25728439,70.78335941,69.5
"Louisville/Jefferson County, KY IN",38.2526647,-85.7584557,South,79.14976974,60.38343437,45.82220561,56.85496095,74.86
"Lubbock, TX",33.5778631,-101.8551665,South,39.70801129,52.78034588,99,68.2339429,93.72
"Lynchburg, VA",37.4137536,-79.1422464,South,28.39144715,61.74411351,58.9457584,29.05965022,22.09
"Macon Bibb County, GA",32.8406946,-83.6324022,South,62.18102556,66.29917885,19.20686281,24.2528907,46.56
"Madera, CA",36.9613356,-120.0607176,West,30.09144786,29.46853787,50.98206633,28.21087039,33.05
"Madison, WI",43.0730517,-89.4012302,Midwest,47.40342258,59.41467989,46.17695354,39.48329344,82.25
"Manchester Nashua, NH",42.9956397,-71.4547891,Northeast,34.67406689,13.99728186,64.44187218,32.79010542,52.93
"Manhattan, KS",39.1836082,-96.5716694,Midwest,51.83304754,55.30934858,53.12294981,30.8296331,80.21
"Mankato North Mankato, MN",44.1635775,-93.9993996,Midwest,53.33497546,66.76005923,15.28425873,31.92255172,20.56
"Mansfield, OH",40.75839,-82.5154471,Midwest,73.86404665,58.48309201,69.41695009,65.63223522,28.46
"McAllen Edinburg Mission, TX",26.2034071,-98.2300124,South,59.53707399,29.86803411,58.66090749,49.99607419,83.01
"Medford, OR",42.3265152,-122.8755949,West,50.2308039,10.46427361,50.13774085,16.54009138,34.58
"Memphis, TN MS AR",35.1495343,-90.0489801,South,59.90235705,32.0989921,23.23678037,37.84010047,57.78
"Merced, CA",37.3021632,-120.4829677,West,41.71878376,30.64128516,54.84616145,25.34829134,42.48
"Miami Fort Lauderdale West Palm Beach, FL",25.7890972,-80.2040435,South,44.94564897,26.84731564,42.50213605,17.08449381,76.39
"Michigan City La Porte, IN",41.7075394,-86.8950297,Midwest,59.21844447,41.96154882,36.73962116,53.03992581,31.77
"Midland, TX",31.9973456,-102.0779146,South,64.61115105,59.25698769,28.6370404,33.78708452,6.53
"Milwaukee Waukesha West Allis, WI",43.0389025,-87.9064736,Midwest,43.53757645,15.35258918,48.82916017,56.99923483,65.17
"Minneapolis St. Paul Bloomington, MN WI",44.983334,-93.26667,Midwest,44.86000008,49.99607419,67.23767212,24.81151305,66.95
"Missoula, MT",46.8625,-114.011667,West,75.24715769,69.30802769,24.3891332,74.39659344,91.94
"Mobile, AL",30.6953657,-88.0398912,South,80.48222588,75.74969254,26.58005586,38.39611985,80.97
"Modesto, CA",37.6390972,-120.9968782,West,48.49517551,34.26970362,45.41374626,17.60123848,13.67
"Monroe, LA",32.5093109,-92.1193012,South,50.85093092,34.74280625,43.35723827,56.28448545,78.68
"Monroe, MI",41.9164343,-83.3977101,Midwest,36.97850668,47.16625224,48.90604472,40.93313589,5
"Montgomery, AL",32.3668052,-86.2999689,South,64.42327068,56.99923483,46.88474875,38.80747965,59.3
"Morgantown, WV",39.629526,-79.9558968,South,76.69884222,66.07374422,32.01157455,47.28861704,81.74
"Morristown, TN",36.2139814,-83.2948922,South,41.53057723,37.13174073,34.14107643,22.41879377,31.01
"Mount Vernon Anacortes, WA",48.421216,-122.3340474,West,60.34277647,64.99163334,32.19089324,35.51204564,36.36
"Muncie, IN",40.1933767,-85.3863599,Midwest,45.13084097,25.86534265,40.30960381,41.57810721,73.58
"Muskegon, MI",43.2341813,-86.2483921,Midwest,70.5934347,61.56917999,43.61879999,50.61949564,14.18
"Myrtle Beach Conway North Myrtle Beach, SC NC",33.6890603,-78.8866943,South,64.71995922,56.00300514,48.68643749,79.14381458,22.6
"Napa, CA",38.2975381,-122.286865,West,40.74337084,31.20080144,53.76656532,29.46853787,31.52
"Naples Immokalee Marco Island, FL",26.1420358,-81.7948103,South,56.19986024,36.98814465,48.94400717,36.98814465,9.34
"Nashville Davidson  Murfreesboro  Franklin, TN",36.166667,-86.783333,South,43.25941242,51.75428393,45.02906144,11.49083911,78.17
"New Haven Milford, CT",41.308274,-72.9278835,Northeast,56.69603517,67.97776296,52.76373332,52.65104545,63.89
"New Orleans Metairie, LA",29.9510658,-90.0715323,South,53.78644742,54.49405053,24.36173882,33.62396475,60.32
"New York City, NY",40.7127837,-74.0059413,Northeast,53.82986827,50.36960352,38.31235393,66.76005923,90.92
"Newark, NJ",40.7127837,-74.0059413,Northeast,83.49581533,81.43570195,17.77312546,62.09854573,94.74
"Niles Benton Harbor, MI",41.8297694,-86.2541768,Midwest,51.12066348,56.42614254,48.52433567,53.43187808,65.68
"North Port Sarasota Bradenton, FL",27.044224,-82.2359254,South,50.08606127,36.2596624,44.17889931,30.45101556,35.85
"Norwich New London, CT",41.5242649,-72.0759105,Northeast,43.85717097,37.55862016,55.48877973,63.58434407,10.87
"Ocala, FL",29.1871986,-82.1400923,South,49.65204794,40.8031798,76.75146731,51.12162552,37.13
"Ocean City, NJ",39.2776156,-74.5746001,Northeast,55.87180834,30.45101556,50.04560165,50.99578203,19.03
"Odessa, TX",31.8456816,-102.3676431,South,76.06859859,74.82909073,48.20420844,33.12743446,7.3
"Ogden Clearfield, UT",41.223,-111.9738304,West,62.36926145,43.59817952,51.75458979,45.32884371,25.91
"Oklahoma City, OK",35.4675602,-97.5164276,South,65.2558464,76.24186713,33.54674829,46.67685337,89.13
"Olympia Tumwater, WA",47.0378741,-122.9006951,West,52.71996629,35.66321404,42.68684662,45.69708883,37.64
"Omaha Council Bluffs, NE IA",41.2523634,-95.9979883,Midwest,60.77347457,54.35981217,47.5469881,40.8031798,71.8
"Orlando Kissimmee Sanford, FL",28.5383355,-81.3792365,South,39.13513129,51.24768847,43.38076419,69.59021491,84.8
"Oshkosh Neenah, WI",44.0247062,-88.5426136,Midwest,58.76431903,47.28861704,21.20300672,47.533407,42.22
"Owensboro, KY",37.7719074,-87.1111676,South,57.70360666,40.27985119,55.04335784,62.82698621,24.38
